"Bonfinópolis de Minas","BR.MG.087","BR",5867,16.5646,45.9866
"Bonito de Minas","BR.MG.088","BR",10797,15.3239,44.7550
"Borda da Mata","BR.MG.089","BR",19055,22.2723,46.1635
"Botelhos","BR.MG.090","BR",14935,21.6473,46.3953
"Botumirim","BR.MG.091","BR",6550,16.8619,43.0102
"Brás Pires","BR.MG.092","BR",4733,20.8477,43.2434
"Brasilândia de Minas","BR.MG.093","BR",14226,17.0103,46.0085
"Brasília de Minas","BR.MG.094","BR",31221,16.2132,44.4336
"Braúnas","BR.MG.095","BR",4835,19.0577,42.7188
"Brazópolis","BR.MG.096","BR",14246,22.4739,45.6180
"Brumadinho","BR.MG.097","BR",38915,20.1444,44.2016
"Bueno Brandão","BR.MG.098","BR",11233,22.4406,46.3491
"Buenópolis","BR.MG.099","BR",10291,17.8744,44.1768
"Bugre","BR.MG.100","BR",4041,19.4258,42.2557
"Buritis","BR.MG.101","BR",25179,15.6288,46.4299
"Buritizeiro","BR.MG.102","BR",23910,17.3623,44.9662
"Cabeceira Grande","BR.MG.103","BR",6774,16.0297,47.0870
"Cabo Verde","BR.MG.104","BR",14330,21.4730,46.3971
"Cachoeira da Prata","BR.MG.105","BR",3603,19.5243,44.4509
"Cachoeira de Minas","BR.MG.106","BR",11884,22.3550,45.7789
"Cachoeira de Pajeú","BR.MG.107","BR",9382,15.9677,41.4960
"Cachoeira Dourada","BR.MG.108","BR",2706,18.5176,49.5013
"Caetanópolis","BR.MG.109","BR",10218,19.3005,44.4149
"Caeté","BR.MG.110","BR",45364,19.8844,43.6611
"Caiana","BR.MG.111","BR",4968,20.6954,41.9235
"Cajuri","BR.MG.112","BR",4088,20.7878,42.7941
"Caldas","BR.MG.113","BR",13630,21.9235,46.3885
"Camacho","BR.MG.114","BR",3154,20.6272,45.1550
"Camanducaia","BR.MG.115","BR",21074,22.7564,46.1479
"Cambuí","BR.MG.116","BR",30068,22.6100,46.0576
"Cambuquira","BR.MG.117","BR",13053,21.8502,45.2974
"Campanário","BR.MG.118","BR",3739,18.2388,41.7258
"Campanha","BR.MG.119","BR",15935,21.8344,45.3990
"Campestre","BR.MG.120","BR",21417,21.7121,46.2441
"Campina Verde","BR.MG.121","BR",19752,19.5340,49.4808
"Campo Azul","BR.MG.122","BR",3705,16.5058,44.8125
"Campo Belo","BR.MG.123","BR",54338,20.8937,45.2711
"Campo do Meio","BR.MG.124","BR",11518,21.1084,45.8306
"Campo Florido","BR.MG.125","BR",7105,19.7625,48.5715
"Campos Altos","BR.MG.126","BR",14213,19.6969,46.1705
"Campos Gerais","BR.MG.127","BR",28774,21.2377,45.7616
"Cana Verde","BR.MG.128","BR",5589,21.0215,45.1808
"Canaã","BR.MG.129","BR",4715,20.6882,42.6172
